application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url
INT-10736,Talha Siddiqui,talha.siddiqui736@yahoo.com,03433391870,23,Female,Multan,Punjab,BS Computer Science,NUST,2.67,"Power BI, SQL, Statistics, Html, Css, Tableau, Pandas",0,Software Development,University Portal,33000,2025-03-10 01:06:00,https://www.linkedin.com/in/talha-siddiqui736
INT-10201,Eman Rind,eman.rind201@icloud.com,03150945407,22,Male,Gujranwala,Punjab,BS Computer Science,University of Karachi,3.51,"Machine Learning, Python, Git, Power BI, Data Visualization",13,Data Analytics,Direct,30000,2025-04-10 23:37:00,https://www.linkedin.com/in/eman-rind201
INT-10485,Bilal Ali,bilal.ali485@outlook.com,03119131248,27,Male,Larkana,Sindh,BS Information Technology,COMSATS University,3.53,"Tableau, Data Visualization, Power BI, Machine Learning",3,Software Development,Indeed,28000,2025-03-22 22:34:00,https://www.linkedin.com/in/bilal-ali485
INT-20008,Ahsan Qureshi,ahsan.qureshi86@gmail.com,03000541165,20,Female,Khairpur,Sindh,BS Economics,NUST,3.36,"Statistics, Git, Html, Css, Data Visualization, Communication, Python",1,Data Analytics,LinkedIn,34000,2025-04-20 18:57:00,https://www.linkedin.com/in/ahsan-qureshi86
INT-10173,Sana Bhatti,sana.bhatti173@yahoo.com,03328747644,25,Male,Faisalabad,Punjab,BS Software Engineering,Bahria University,2.36,"Html, Css, Communication, Data Visualization, SQL, Python, Statistics",10,Data Analytics,Referral,19000,2025-04-18 13:00:00,https://www.linkedin.com/in/sana-bhatti173
INT-10208,Iqra Siddiqui,iqra.siddiqui208@outlook.com,03031479842,21,Male,Karachi,Sindh,BS Information Technology,LUMS,3.19,"Data Visualization, Power BI, Excel",8,Software Development,Referral,34000,2025-03-31 14:33:00,https://www.linkedin.com/in/iqra-siddiqui208
INT-10457,Sajid Shaikh,sajid.shaikh457@gmail.com,03481404682,28,Male,Larkana,Sindh,BS Statistics,NUST,3.43,"Statistics, SQL",8,Data Analytics,LinkedIn,38000,2025-04-17 22:11:00,https://www.linkedin.com/in/sajid-shaikh457
INT-20017,Mariam Shah,mariam.shah279@gmail.com,03036346504,26,Male,Rawalpindi,Punjab,BBA,Bahria University,2.89,"Excel, Pandas, Git, Python",6,Marketing,University Portal,23000,2025-03-24 13:44:00,https://www.linkedin.com/in/mariam-shah279
INT-20021,Ali Ansari,ali.ansari595@gmail.com,03160458802,21,Male,Hyderabad,Sindh,BS Data Science,Bahria University,2.7,"SQL, Html, Css, Excel, Tableau",23,Software Development,LinkedIn,27000,2025-04-14 10:43:00,https://www.linkedin.com/in/ali-ansari595
INT-20031,Sana Chandio,sana.chandio690@icloud.com,03274450910,23,Male,Khairpur,Sindh,BS Information Technology,Bahria University,2.9,"Git, Machine Learning, Data Visualization",3,Business Intelligence,LinkedIn,10000,2025-03-02 17:50:00,https://www.linkedin.com/in/sana-chandio690
INT-10293,Saad Ahmed,saad.ahmed293@icloud.com,03376218583,21,Male,Faisalabad,Punjab,BS Information Technology,NUST,2.61,"Machine Learning, Git, SQL, Tableau, Pandas, Excel",20,Software Development,Indeed,43000,2025-03-14 09:22:00,https://www.linkedin.com/in/saad-ahmed293
INT-10488,Hira Shah,hira.shah488@yahoo.com,03092267063,25,Female,Khairpur,Sindh,BS Information Technology,Mehran University,3.05,"Statistics, Power BI",11,Human Resources,Direct,37000,2025-04-14 10:59:00,https://www.linkedin.com/in/hira-shah488
INT-20006,Talha Ali,talha.ali100@outlook.com,03267452610,28,Male,Peshawar,Khyber Pakhtunkhwa,BS Economics,Punjab University,3.77,"Pandas, SQL, Excel, Git, Html, Css, Power BI",3,Human Resources,Referral,34000,2025-04-08 11:19:00,https://www.linkedin.com/in/talha-ali100
INT-20028,Nimra Syed,nimra.syed13@gmail.com,03441827701,19,Female,Nawabshah,Sindh,BS Information Technology,IBA Karachi,3.21,"SQL, Html, Css, Power BI, Machine Learning",3,Marketing,Indeed,40000,2025-04-13 13:28:00,https://www.linkedin.com/in/nimra-syed13
INT-20012,Talha Ali,talha.ali336@gmail.com,03081653433,29,Male,Islamabad,Islamabad Capital Territory,BS Computer Science,Shah Abdul Latif University,3.54,"Python, Machine Learning, Power BI, Statistics, SQL, Tableau",5,Software Development,Referral,14000,2025-03-06 01:07:00,https://www.linkedin.com/in/talha-ali336
INT-10603,Hamza Khan,hamza.khan603@icloud.com,03434400285,25,Female,Rawalpindi,Punjab,BS Statistics,LUMS,3.23,"Data Visualization, Machine Learning, Excel, Git",4,Software Development,University Portal,14000,2025-04-12 01:06:00,https://www.linkedin.com/in/hamza-khan603
INT-20022,Yasir Ansari,yasir.ansari666@yahoo.com,03271279243,21,Male,Hyderabad,Sindh,BS Statistics,Mehran University,3.67,"Machine Learning, Python, Tableau, Statistics",4,Data Analytics,University Portal,20000,2025-03-11 22:20:00,https://www.linkedin.com/in/yasir-ansari666
INT-10083,Noor Siddiqui,noor.siddiqui83@yahoo.com,03438231137,23,Male,Islamabad,Islamabad Capital Territory,BS Economics,NUST,3.2,"Power BI, Communication, Statistics, SQL, Tableau, Python",24,Marketing,LinkedIn,21000,2025-03-19 01:26:00,https://www.linkedin.com/in/noor-siddiqui83
INT-10669,Ahsan Memon,ahsan.memon669@outlook.com,03447043621,26,Male,Khairpur,Sindh,BS Statistics,Shah Abdul Latif University,2.59,"SQL, Pandas, Statistics, Data Visualization",29,Marketing,Direct,25000,2025-03-09 16:32:00,https://www.linkedin.com/in/ahsan-memon669
INT-20040,Iqra Bhatti,iqra.bhatti840@outlook.com,03441571195,22,Male,Lahore,Punjab,BS Computer Science,Bahria University,2.58,"SQL, Git, Tableau",13,Marketing,University Portal,29000,2025-03-26 01:47:00,https://www.linkedin.com/in/iqra-bhatti840
INT-10175,Usman Ansari,usman.ansari175@icloud.com,03227263430,29,Female,Lahore,Punjab,BS Software Engineering,Mehran University,3.33,"Excel, Communication",15,Product,Indeed,32000,2025-04-17 07:44:00,https://www.linkedin.com/in/usman-ansari175
INT-10181,Shayan Jatoi,shayan.jatoi181@icloud.com,03070252785,28,Male,Sukkur,Sindh,BS Statistics,University of Karachi,3.32,"Communication, Excel, Machine Learning",18,Software Development,Direct,34000,2025-04-19 05:59:00,https://www.linkedin.com/in/shayan-jatoi181
INT-20030,Mahnoor Siddiqui,mahnoor.siddiqui10@yahoo.com,03382101422,28,Female,Peshawar,Khyber Pakhtunkhwa,BS Data Science,COMSATS University,3.25,"Git, Pandas, Machine Learning, Communication",8,Business Intelligence,Internee.pk,37000,2025-03-17 10:09:00,https://www.linkedin.com/in/mahnoor-siddiqui10
INT-20038,Ahsan Siddiqui,ahsan.siddiqui370@yahoo.com,03034433370,23,Male,Gujranwala,Punjab,BS Information Technology,IBA Karachi,2.58,"Data Visualization, Statistics, Power BI, Communication, Html, Css",16,Business Intelligence,Referral,42000,2025-04-16 14:00:00,https://www.linkedin.com/in/ahsan-siddiqui370
INT-20015,Mahnoor Malik,mahnoor.malik477@outlook.com,Not Provided,23,Male,Karachi,Sindh,BS Data Science,Mehran University,3.14,"Communication, Excel, SQL, Git, Html, Css, Power BI",21,Product,Indeed,37000,2025-03-18 04:30:00,https://www.linkedin.com/in/mahnoor-malik477
INT-10312,Hamza Ali,hamza.ali312@gmail.com,03180869308,27,Female,Karachi,Sindh,BS Computer Science,Bahria University,3.46,"Data Visualization, Git, Machine Learning",10,Human Resources,LinkedIn,45000,2025-03-26 00:42:00,https://www.linkedin.com/in/hamza-ali312
INT-10793,Muhammad Khan,muhammad.khan793@outlook.com,03385248565,23,Male,Islamabad,Islamabad Capital Territory,BS Software Engineering,University of Sindh,3.1,"Python, Html, Css, Statistics",12,Marketing,Direct,22000,2025-04-07 23:05:00,https://www.linkedin.com/in/muhammad-khan793
INT-20001,Ali Chandio,ali.chandio59@icloud.com,03130204444,27,Female,Multan,Punjab,BS Software Engineering,Shah Abdul Latif University,3.43,"Data Visualization, Python, Html, Css, Git, Pandas",10,Data Analytics,Internee.pk,33000,2025-04-16 03:41:00,Not Provided
INT-10846,Iqra Soomro,iqra.soomro846@outlook.com,03355903200,24,Male,Sukkur,Sindh,BBA,University of Karachi,3.44,"Html, Css, Python",10,Human Resources,University Portal,35000,2025-04-28 20:25:00,https://www.linkedin.com/in/iqra-soomro846
INT-20027,Laiba Rajput,laiba.rajput706@gmail.com,03012535037,27,Male,Sukkur,Sindh,BS Computer Science,NED University,3.26,"Data Visualization, Machine Learning, Excel",2,Marketing,LinkedIn,35000,2025-03-05 02:10:00,https://www.linkedin.com/in/laiba-rajput706
