application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url
INT-10646,Talha Memon,talha.memon646@outlook.com,03001564760,29,Female,KHAIRPUR,Sindh,BS IT,COMSATS University,2.85,,4,HR,Internee.pk,27000,2025-04-18 10:54:00,
INT-10413,Areeba Jatoi,areeba.jatoi413@gmail.com,+92 336 292 7092,28,Male,SUKKUR,Sindh,BS Software Engineering,NED University,3.25,"Excel, HTML/CSS, Tableau, Data Visualization, Statistics",4,Marketing,University Portal,26000,2025-03-06 16:33:00,https://www.linkedin.com/in/areeba-jatoi413
INT-10468,Danish Chandio,danish.chandio468@yahoo.com,03372973575,24,Female,Larkana,Sindh,BS Information Technology,NED University,3.4,"Power BI, Data Visualization, HTML/CSS, Python, Statistics, Tableau",5,Product,Direct,47000,2025-04-09 10:11:00,https://www.linkedin.com/in/danish-chandio468
INT-10780,Hira Malik,hira.malik780@yahoo.com,03293192025,26,Female,Islamabad,Islamabad Capital Territory,BSSE,University of Karachi,2.6,"Python, Communication, Power BI, Machine Learning",1,Marketing,Direct,35000,2025-03-31 09:01:00,https://www.linkedin.com/in/hira-malik780
INT-10050,Noor Bhatti,noor.bhatti50@outlook.com,0331 5747643,22,Male,Gujranwala,Punjab,BS Information Technology,University of Karachi,2.6,git | statistics | Machine Learning | excel | powerbi | Tableau,17,Human Resources,Direct,26000,2025-03-23 16:08:00,https://www.linkedin.com/in/noor-bhatti50
INT-10196,Noor Rind,noor.rind196@icloud.com,03293545541,21,Female,Hyderabad,Sindh,BS Computer Science,University of Karachi,3.26,"Power BI, SQL, Pandas, Communication",10,Human Resources,LinkedIn,28000,2025-03-15 18:11:00,https://www.linkedin.com/in/noor-rind196
INT-10189,Rida Rind,rida.rind189@yahoo.com,03369583980,25,Male,Khairpur,Sindh,BS Information Technology,NUST,2.89,"HTML/CSS, SQL, Python, Data Visualization",21,data analytics,Internee.pk,36000,2025-04-23 21:02:00,https://www.linkedin.com/in/rida-rind189
INT-10014,Talha Rind,talha.rind14@outlook.com,03275962107,27,Male,Islamabad,Islamabad Capital Territory,BS Statistics,COMSATS University,2.54,Git; Power BI,4,Human Resources,Direct,10000,2025-04-07 08:10:00,https://www.linkedin.com/in/talha-rind14
INT-10735,Bilal Chandio,bilal.chandio735@outlook.com,03441420175,22,Male,Gujranwala,Punjab,BS Computer Science,University of Karachi,2.84,"Python, Statistics, Machine Learning, Git, Tableau, SQL",20,Data Analytics,LinkedIn,32000,2025-04-06 07:37:00,https://www.linkedin.com/in/bilal-chandio735
INT-10372,Ali Mirza,ali.mirza372@icloud.com,03407624593,24,Male,Hyderabad,Sindh,BS Software Engineering,COMSATS University,3.0,"Tableau, SQL",10,Business Intelligence,Referral,35000,2025-03-10 01:57:00,https://www.linkedin.com/in/ali-mirza372
INT-10814,Sajid Ansari, sajid.ansari814@outlook.com ,03415857571,26,Female,Abbottabad,Khyber Pakhtunkhwa,BS Data Science,NED University,3.05,"HTML/CSS, Tableau, Python",4,Data Analytics,Internee.pk,250000,2025-03-01 13:21:00,https://www.linkedin.com/in/sajid-ansari814
INT-10056,Talha Syed,talha.syed56@gmail.com,03194397214,23,Female,Islamabad,Islamabad Capital Territory,BBA,Punjab University,3.32,"Statistics, Python",12,Data Analytics,Direct,42000,2025-03-31 00:24:00,https://www.linkedin.com/in/talha-syed56
INT-10683,Laiba Rajput,laiba.rajput683@outlook.com,03277864097,26,Male,Larkana,Sindh,BS Computer Science,Bahria University,3.13,"HTML/CSS, Python, SQL, Tableau, Data Visualization",18,Data Analytics,Internee.pk,17000,2025-03-13 14:10:00,https://www.linkedin.com/in/laiba-rajput683
INT-10772,Hira Ansari,hira.ansari772@gmail.com,03338598156,27,Female,Karachi,Sindh,BS Information Technology,LUMS,3.97,"SQL, Data Visualization, HTML/CSS, Git, Python",7,Marketing,Indeed,34000,2025-04-03 17:28:00,https://www.linkedin.com/in/hira-ansari772
INT-10353,Usman Soomro,usman.soomro353@gmail.com,03243516969,26,Male,Rawalpindi ,Punjab,BS Information Technology,NUST,2.89,"Communication, Statistics, Data Visualization, Git, Python, Pandas",3,Finance,University Portal,33000,2025-04-11 11:00:00,https://www.linkedin.com/in/usman-soomro353
INT-10100,Talha Ali,talha.ali100@outlook.com,03267452610,28,Male,Peshawar,Khyber Pakhtunkhwa,BS Economics,Punjab University,3.77,"Pandas, SQL, Excel, Git, HTML/CSS, Power BI",3,Human Resources,Referral,34000,2025-04-08 11:16:00,https://www.linkedin.com/in/talha-ali100
INT-10040,Mahnoor Shaikh,mahnoor.shaikh40@icloud.com,,22,Male,Lahore,Punjab,BS Information Technology,Shah Abdul Latif University,3.87,"SQL, Communication",21,Marketing,Internee.pk,43000,2025-03-07 18:09:00,https://www.linkedin.com/in/mahnoor-shaikh40
INT-10376,Farhan Memon,farhan.memon376@outlook.com,03305141912,25,Male,Rawalpindi,Punjab,BBA,LUMS,2.92,"Python, Power BI, Data Visualization, Excel, Communication",13,Business Intelligence,Referral,10000,2025-04-23 19:07:00,https://www.linkedin.com/in/farhan-memon376
INT-10363,Hussain Abbasi,hussain.abbasi363@icloud.com,03163083112,23,Male,Karachi,Sindh,BBA,Mehran University,3.43,"Git, Communication, Pandas, HTML/CSS, Statistics",4,Product,University Portal,40000,2025-03-30 11:12:00,https://www.linkedin.com/in/hussain-abbasi363
INT-10785,Nimra Khan,nimra.khan785@gmail.com,03304086735,23,Female,Rawalpindi,Punjab,BS Data Science,Bahria University,2.98,"Pandas, Git, Machine Learning, Statistics, SQL",8,Marketing,University Portal,36000,2025-04-10 05:40:00,https://www.linkedin.com/in/nimra-khan785
INT-10788,Danish Ali,danish.ali788@gmail.com,03162876849,26,Female,Faisalabad,Punjab,BBA,IBA Karachi,3.07,"HTML/CSS, Machine Learning",13,Finance,Direct,21000,2025-03-10 03:33:00,https://www.linkedin.com/in/danish-ali788
INT-10169,Zain Ansari,zain.ansari169@outlook.com,03390116917,23,Male,Rawalpindi,Punjab,BS Data Science,IBA Karachi,2.75,"Pandas, Git, Tableau",18,Product,Referral,28000,2025-03-17 21:51:00,https://www.linkedin.com/in/zain-ansari169
INT-10594,Sana Qureshi,sana.qureshi594@outlook.com,03094524937,27,Male,Sukkur,Sindh,BS Computer Science,Punjab University,3.12,"HTML/CSS, Excel, Python",8,Finance,University Portal,33000,2025-03-19 01:10:00,https://www.linkedin.com/in/sana-qureshi594
INT-10729,Iqra Syed,iqra.syed729@yahoo.com,03464472458,30,Female,Mardan,Khyber Pakhtunkhwa,BS Information Technology,IBA Karachi,3.05,power bi | Statistics | Data Visualization | Python,6,Business Intelligence,LinkedIn,34000,2025-03-27 17:39:00,https://www.linkedin.com/in/iqra-syed729
INT-10223,Iqra Ansari,iqra.ansari223@outlook.com,0330-444 3378,24,Female,Nawabshah,Sindh,BS Information Technology,NUST,3.37,"Communication, Excel, Machine Learning, Python",1,Business Intelligence,Referral,24000,2025-03-31 11:13:00,https://www.linkedin.com/in/iqra-ansari223
INT-10740,Yasir Ahmed,yasir.ahmed740@outlook.com,03045991138,19,Female,Hyderabad,Sindh,BBA,Bahria University,2.36,machine learning; Statistics; Excel,4,Marketing,Direct,25000,2025-04-08 17:04:00,https://www.linkedin.com/in/yasir-ahmed740
INT-10070,Noor Malik,noor.malik70@gmail.com,03162813043,25,Female,Larkana,Sindh,BS Information Technology,COMSATS University,2.99,"Machine Learning, Tableau, Excel, Python, Statistics, SQL",7,Software Development,Indeed,26000,2025-03-14 14:06:00,https://www.linkedin.com/in/noor-malik70
INT-10543,Talha Abbasi,talha.abbasi543@yahoo.com,03073173651,22,Female,Hyderabad,Sindh,BS Information Technology,University of Karachi,3.18,"Excel, HTML/CSS",11,Marketing,University Portal,20000,2025-04-10 07:33:00,https://www.linkedin.com/in/talha-abbasi543
INT-10091,Saad Rajput,saad.rajput91@icloud.com,03438406930,31,,Abbottabad,Khyber Pakhtunkhwa,BBA,Mehran University,3.44,"Python, SQL, Statistics, Tableau, Power BI, Pandas",4,Data Analytics,University Portal,37000,2025-03-24 20:03:00,https://www.linkedin.com/in/saad-rajput91
INT-10641,Hamza Ahmed,hamza.ahmed641@gmail.com,03467916691,24,Male,Faisalabad,Punjab,BS Software Engineering,LUMS,2.62,"Communication, Tableau, Git, SQL",3,Finance,University Portal,32000,2025-04-10 13:38:00,https://www.linkedin.com/in/hamza-ahmed641
INT-10837,Sajid Qureshi,sajid.qureshi837@gmail.com,03160284034,30,Female,Khairpur,Sindh,BS Information Technology,Mehran University,3.51,"SQL, Power BI, Tableau",2,Human Resources,Referral,44000,2025-04-29 00:11:00,
INT-10767,Sidra Ansari,sidra.ansari767@icloud.com,03440326351,31,,Rawalpindi,Punjab,BBA,Bahria University,3.15,"SQL, Power BI, Pandas, Statistics",4,Finance,LinkedIn,25000,2025-04-04 12:12:00,https://www.linkedin.com/in/sidra-ansari767
INT-10212,Bilal Qureshi,bilal.qureshi212@yahoo.com,03240388515,23,Male,Sukkur,Sindh,BS Information Technology,Punjab University,3.35,"Tableau, Machine Learning, Pandas, Git, Python",4,Business Intelligence,Internee.pk,10000,2025-03-05 23:19:00,https://www.linkedin.com/in/bilal-qureshi212
INT-10779,Shayan Ahmed,shayan.ahmed779@gmail.com,03056001759,29,Male,Faisalabad,Punjab,BS Software Engineering,IBA Karachi,3.2,sql | Communication,6,Software Development,LinkedIn,32000,2025-03-25 03:17:00,https://www.linkedin.com/in/shayan-ahmed779
INT-10381,Eman Ansari,eman.ansari381@yahoo.com,+92 302 400 5793,25,Male,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,Bahria University,3.08,"Machine Learning, Power BI, HTML/CSS",1,Product,Referral,26000,2025-03-13 14:59:00,
INT-10752,Laiba Qureshi,laiba.qureshi752@icloud.com,03444643049,21,Female,Mardan,Khyber Pakhtunkhwa,BBA,Bahria University,3.1,"Pandas, Data Visualization, Power BI, Statistics, Machine Learning, Excel",14,Software Development,LinkedIn,22000,2025-03-28 12:09:00,https://www.linkedin.com/in/laiba-qureshi752
INT-10221,Zain Siddiqui,zain.siddiqui221@yahoo.com,03283447290,25,Male,Lhr,Punjab,BBA,NUST,3.58,"Machine Learning, Pandas, Communication",4,Software Development,Internee.pk,35000,2025-04-04 12:54:00,https://www.linkedin.com/in/zain-siddiqui221
INT-10625,Sana Shah,sana.shah625@gmail.com,03125787027,27,Male,Larkana,Sindh,BS Information Technology,NED University,2.92,"Machine Learning, Git",9,Marketing,Direct,36000,2025-03-27 13:56:00,https://www.linkedin.com/in/sana-shah625
INT-10712,Rida Memon,rida.memon712@outlook.com,03015013330,25,Male,Sukkur,Sindh,BS Computer Science,,3.17,"Python, Pandas, Tableau, Data Visualization, Power BI, Communication",16,Human Resources,Direct,10000,2025-03-25 07:39:00,https://www.linkedin.com/in/rida-memon712
INT-10657,Mahnoor Siddiqui,mahnoor.siddiqui657@gmail.com,,32,Male,Abbottabad,Khyber Pakhtunkhwa,BS Computer Science,Bahria University,3.52,"Data Visualization, Communication, Python, Machine Learning, Excel, Power BI",13,Data Analytics,Referral,15000,2025-04-17 23:51:00,https://www.linkedin.com/in/mahnoor-siddiqui657
