application_id,applicant_name,email,phone,age,gender,city,province,education_level,university,cgpa,skills,experience_months,preferred_department,application_source,expected_stipend_pkr,submitted_at,linkedin_url,skill_count,experience_years
INT-20005,Ahsan Memon,ahsan.memon669@outlook.com,03447043621,26,Male,Khairpur,Sindh,BS Statistics,Shah Abdul Latif University,2.59,"SQL, Pandas, Statistics, Data Visualization",29,Marketing,Direct,25000,2025-03-09 18:09:00,https://www.linkedin.com/in/ahsan-memon669,4,2.4
INT-10776,Rida Ansari,rida.ansari776@icloud.com,03381608253,20,Female,Abbottabad,Khyber Pakhtunkhwa,BS Information Technology,IBA Karachi,2.51,"Power BI, Machine Learning, Python, Communication, SQL, Html, Css",4,Software Development,Internee.pk,48000,2025-03-08 02:58:00,https://www.linkedin.com/in/rida-ansari776,7,0.3
INT-10696,Bilal Syed,bilal.syed696@yahoo.com,03338148624,28,Male,Lahore,Punjab,BBA,COMSATS University,2.78,"Excel, Html, Css",8,Software Development,Internee.pk,36000,2025-03-17 13:50:00,https://www.linkedin.com/in/bilal-syed696,3,0.7
INT-10698,Hira Rind,hira.rind698@gmail.com,03265891815,25,Male,Lahore,Punjab,BS Computer Science,LUMS,2.9,"Machine Learning, Git, Excel, Communication",6,Finance,University Portal,28000,2025-03-25 05:49:00,https://www.linkedin.com/in/hira-rind698,4,0.5
INT-10826,Rida Bhatti,rida.bhatti826@icloud.com,03007015134,27,Male,Islamabad,Islamabad Capital Territory,BS Statistics,Shah Abdul Latif University,3.27,"Excel, Html, Css, Git, Pandas, Machine Learning, SQL",1,Data Analytics,Indeed,20000,2025-03-21 08:41:00,https://www.linkedin.com/in/rida-bhatti826,7,0.1
INT-10750,Danish Soomro,danish.soomro750@outlook.com,03054627106,29,Male,Abbottabad,Khyber Pakhtunkhwa,BS Information Technology,Punjab University,3.33,"Tableau, Machine Learning, Git",8,Human Resources,Referral,23000,2025-03-03 06:22:00,https://www.linkedin.com/in/danish-soomro750,3,0.7
INT-10365,Shayan Chandio,shayan.chandio365@yahoo.com,03067557742,20,Female,Peshawar,Khyber Pakhtunkhwa,BS Software Engineering,NED University,3.3,"Power BI, Statistics, Communication, Html, Css, Machine Learning, Python",4,Product,Referral,20000,2025-04-08 14:51:00,https://www.linkedin.com/in/shayan-chandio365,7,0.3
INT-10082,Hira Malik,hira.malik82@gmail.com,03428172344,30,Male,Mardan,Khyber Pakhtunkhwa,BS Information Technology,Bahria University,2.0,"Excel, Communication",22,Data Analytics,Internee.pk,51000,2025-03-10 01:36:00,https://www.linkedin.com/in/hira-malik82,2,1.8
INT-10687,Mariam Memon,mariam.memon687@gmail.com,03347672111,23,Female,Hyderabad,Sindh,BS Computer Science,University of Sindh,2.59,"Data Visualization, Communication, SQL",6,Data Analytics,University Portal,20000,2025-04-17 09:11:00,https://www.linkedin.com/in/mariam-memon687,3,0.5
INT-10411,Sana Siddiqui,sana.siddiqui411@outlook.com,03067297631,25,Male,Karachi,Sindh,BBA,NUST,3.54,"Excel, Statistics, Communication, Pandas, Tableau",15,Data Analytics,Referral,54000,2025-04-17 12:26:00,https://www.linkedin.com/in/sana-siddiqui411,5,1.2
INT-10704,Mahnoor Soomro,mahnoor.soomro704@yahoo.com,03440647851,29,Female,Islamabad,Islamabad Capital Territory,BS Software Engineering,Bahria University,3.17,"Power BI, Pandas, Git, Html, Css, Machine Learning",8,Data Analytics,Referral,10000,2025-04-08 14:08:00,https://www.linkedin.com/in/mahnoor-soomro704,6,0.7
INT-10450,Mariam Rajput,mariam.rajput450@gmail.com,03043343016,23,Male,Faisalabad,Punjab,BS Data Science,IBA Karachi,2.78,"Power BI, Html, Css, Machine Learning, Git",19,Product,Internee.pk,33000,2025-03-08 23:58:00,https://www.linkedin.com/in/mariam-rajput450,5,1.6
INT-10743,Hamza Abbasi,hamza.abbasi743@gmail.com,03110795650,28,Male,Rawalpindi,Punjab,BS Information Technology,Shah Abdul Latif University,2.95,"Communication, Excel, Power BI, Git",15,Product,Referral,30000,2025-04-23 19:36:00,https://www.linkedin.com/in/hamza-abbasi743,4,1.2
INT-10035,Zain Chandio,zain.chandio35@icloud.com,03223708773,27,Male,Karachi,Sindh,BBA,FAST NUCES,2.8,"Statistics, Python, Machine Learning, Communication",13,Finance,Direct,30000,2025-03-30 05:59:00,https://www.linkedin.com/in/zain-chandio35,4,1.1
INT-10241,Zara Qureshi,zara.qureshi241@gmail.com,03066265598,18,Male,Sukkur,Sindh,BS Data Science,IBA Karachi,2.2,"Excel, Tableau",9,Data Analytics,University Portal,29000,2025-03-31 01:53:00,https://www.linkedin.com/in/zara-qureshi241,2,0.8
INT-10081,Rida Soomro,rida.soomro81@gmail.com,03113769345,22,Female,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,COMSATS University,2.79,"Data Visualization, Communication",19,Human Resources,University Portal,31000,2025-03-24 17:21:00,https://www.linkedin.com/in/rida-soomro81,2,1.6
INT-10787,Fatima Memon,fatima.memon787@outlook.com,03386310031,24,Female,Nawabshah,Sindh,BS Computer Science,IBA Karachi,3.15,"Power BI, SQL, Communication, Data Visualization, Excel, Pandas",3,Marketing,University Portal,27000,2025-03-17 20:34:00,https://www.linkedin.com/in/fatima-memon787,6,0.2
INT-10709,Areeba Jatoi,areeba.jatoi709@gmail.com,03012753228,27,Male,Khairpur,Sindh,BS Statistics,Shah Abdul Latif University,2.82,"Pandas, Machine Learning, Excel, SQL, Statistics",4,Human Resources,University Portal,49000,2025-04-26 22:35:00,https://www.linkedin.com/in/areeba-jatoi709,5,0.3
INT-10710,Hira Memon,hira.memon710@yahoo.com,03382749004,25,Male,Karachi,Sindh,BS Computer Science,University of Karachi,3.01,"Pandas, Statistics, SQL, Git, Power BI",15,Finance,University Portal,50000,2025-04-15 13:07:00,https://www.linkedin.com/in/hira-memon710,5,1.2
INT-10820,Shayan Rind,shayan.rind820@outlook.com,03246791065,23,Female,Hyderabad,Sindh,BBA,Bahria University,2.66,"Excel, Git",6,Human Resources,Direct,10000,2025-04-26 23:32:00,https://www.linkedin.com/in/shayan-rind820,2,0.5
INT-10177,Yasir Mirza,yasir.mirza177@gmail.com,03417226587,25,Female,Larkana,Sindh,BS Information Technology,LUMS,3.06,"Machine Learning, Git, Excel, Power BI, Tableau, Python",2,Software Development,Indeed,44000,2025-03-23 05:53:00,https://www.linkedin.com/in/yasir-mirza177,6,0.2
INT-10364,Eman Khan,eman.khan364@outlook.com,03307986313,26,Male,Quetta,Balochistan,BS Data Science,University of Karachi,3.15,"Git, Communication, Html, Css, SQL, Excel, Machine Learning",13,Marketing,University Portal,30000,2025-04-23 14:40:00,https://www.linkedin.com/in/eman-khan364,7,1.1
INT-10020,Saad Ali,saad.ali20@gmail.com,03118178792,27,Female,Larkana,Sindh,BS Information Technology,Bahria University,2.89,"Git, Statistics, Html, Css",15,Product,Internee.pk,51000,2025-04-06 00:11:00,https://www.linkedin.com/in/saad-ali20,4,1.2
INT-10249,Mariam Chandio,mariam.chandio249@outlook.com,03094852688,26,Female,Faisalabad,Punjab,BS Information Technology,FAST NUCES,3.42,"Pandas, Html, Css, Excel, Communication",14,Product,Direct,20000,2025-04-22 23:58:00,https://www.linkedin.com/in/mariam-chandio249,5,1.2
INT-10501,Hussain Bhatti,hussain.bhatti501@icloud.com,03435726438,23,Male,Faisalabad,Punjab,BS Computer Science,LUMS,2.88,"Git, Machine Learning",18,Business Intelligence,Indeed,21000,2025-03-07 13:58:00,https://www.linkedin.com/in/hussain-bhatti501,2,1.5
INT-10677,Danish Abbasi,danish.abbasi677@gmail.com,03067297354,24,Female,Abbottabad,Khyber Pakhtunkhwa,BBA,NED University,3.12,"Html, Css, Data Visualization, Communication, Tableau, Power BI",3,Business Intelligence,LinkedIn,44000,2025-04-15 15:34:00,https://www.linkedin.com/in/danish-abbasi677,6,0.2
INT-10289,Saad Soomro,saad.soomro289@gmail.com,03224816486,24,Male,Sukkur,Sindh,BS Economics,IBA Karachi,2.77,"Pandas, Machine Learning, Communication, Data Visualization, Html, Css",24,Finance,Indeed,19000,2025-04-15 18:53:00,https://www.linkedin.com/in/saad-soomro289,6,2.0
INT-20037,Hamza Mirza,hamza.mirza441@gmail.com,03324007796,25,Female,Khairpur,Sindh,BS Computer Science,FAST NUCES,3.17,"Machine Learning, Power BI, Excel, Html, Css",1,Human Resources,LinkedIn,41000,2025-03-21 04:24:00,https://www.linkedin.com/in/hamza-mirza441,5,0.1
INT-10794,Bilal Abbasi,bilal.abbasi794@outlook.com,03427686729,20,Male,Multan,Punjab,BS Statistics,Punjab University,2.62,"Python, Html, Css, Tableau, Git",15,Data Analytics,Direct,32000,2025-04-07 22:21:00,https://www.linkedin.com/in/bilal-abbasi794,5,1.2
INT-10416,Danish Soomro,danish.soomro416@gmail.com,03302342641,25,Female,Sukkur,Sindh,BS Computer Science,NED University,4.0,"Python, Pandas, Git, Html, Css, SQL, Data Visualization",1,Software Development,LinkedIn,42000,2025-03-23 04:14:00,https://www.linkedin.com/in/danish-soomro416,7,0.1
INT-10502,Zara Siddiqui,zara.siddiqui502@gmail.com,03323149655,24,Male,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,LUMS,2.58,"Pandas, Statistics, Communication, Python, Power BI, Tableau",12,Marketing,Indeed,28000,2025-03-20 10:29:00,https://www.linkedin.com/in/zara-siddiqui502,6,1.0
INT-10297,Nimra Siddiqui,nimra.siddiqui297@outlook.com,03411757422,26,Female,Rawalpindi,Punjab,BS Information Technology,Bahria University,2.22,"Tableau, Power BI, Git, Statistics, SQL, Machine Learning",31,Finance,Internee.pk,16000,2025-04-16 02:01:00,https://www.linkedin.com/in/nimra-siddiqui297,6,2.6
INT-10061,Usman Rajput,usman.rajput61@icloud.com,03447336533,22,Male,Khairpur,Sindh,BS Software Engineering,LUMS,3.5,"Data Visualization, Machine Learning, Statistics, Tableau, Python, Power BI",18,Data Analytics,Direct,50000,2025-04-22 11:00:00,https://www.linkedin.com/in/usman-rajput61,6,1.5
INT-10725,Laiba Syed,laiba.syed725@icloud.com,03305262847,21,Female,Mardan,Khyber Pakhtunkhwa,BS Information Technology,NUST,2.81,"Statistics, Python",9,Finance,Direct,29000,2025-04-18 05:36:00,https://www.linkedin.com/in/laiba-syed725,2,0.8
INT-10504,Talha Rind,talha.rind504@icloud.com,03282213842,28,Male,Hyderabad,Sindh,BS Computer Science,NED University,2.66,"Excel, Python, Data Visualization",7,Software Development,LinkedIn,39000,2025-03-20 19:23:00,https://www.linkedin.com/in/talha-rind504,3,0.6
INT-10423,Ali Soomro,ali.soomro423@icloud.com,03266215193,23,Female,Larkana,Sindh,BS Information Technology,University of Sindh,3.16,"Machine Learning, Html, Css, Communication, Statistics, Python",12,Data Analytics,Direct,33000,2025-03-08 09:39:00,https://www.linkedin.com/in/ali-soomro423,6,1.0
INT-20018,Zara Ali,zara.ali317@icloud.com,03408668882,25,Male,Nawabshah,Sindh,BS Information Technology,Shah Abdul Latif University,3.48,"Git, Power BI, Html, Css, SQL, Statistics",1,Data Analytics,LinkedIn,44000,2025-04-21 05:02:00,https://www.linkedin.com/in/zara-ali317,6,0.1
INT-10319,Mahnoor Siddiqui,mahnoor.siddiqui319@icloud.com,03055683190,26,Male,Nawabshah,Sindh,BS Statistics,Mehran University,3.12,"SQL, Pandas, Communication, Git, Tableau, Power BI",6,Human Resources,Direct,56000,2025-04-01 09:11:00,https://www.linkedin.com/in/mahnoor-siddiqui319,6,0.5
INT-10694,Muhammad Soomro,muhammad.soomro694@gmail.com,03438009150,23,Male,Gujranwala,Punjab,BS Data Science,Not Provided,3.09,"Pandas, Data Visualization, Power BI, Git",1,Business Intelligence,LinkedIn,34000,2025-04-16 03:23:00,https://www.linkedin.com/in/muhammad-soomro694,4,0.1
INT-20035,Eman Rind,eman.rind201@icloud.com,03150945407,22,Male,Gujranwala,Punjab,BS Computer Science,University of Karachi,3.51,"Machine Learning, Python, Git, Power BI, Data Visualization",13,Data Analytics,Direct,30000,2025-04-11 00:30:00,https://www.linkedin.com/in/eman-rind201,5,1.1
INT-10686,Ahsan Malik,ahsan.malik686@outlook.com,03054819296,32,Male,Karachi,Sindh,BS Computer Science,Bahria University,3.06,"Data Visualization, Tableau, Html, Css",9,Software Development,Indeed,13000,2025-04-11 23:30:00,https://www.linkedin.com/in/ahsan-malik686,4,0.8
INT-10854,Zara Ahmed,zara.ahmed854@outlook.com,03414370125,25,Female,Islamabad,Islamabad Capital Territory,BS Computer Science,Shah Abdul Latif University,3.13,"Machine Learning, Communication, Git, SQL, Tableau",9,Human Resources,Referral,27000,2025-03-12 20:49:00,https://www.linkedin.com/in/zara-ahmed854,5,0.8
INT-10695,Talha Siddiqui,talha.siddiqui695@gmail.com,03034612934,25,Female,Khairpur,Sindh,BS Computer Science,FAST NUCES,3.27,"Machine Learning, Excel",7,Data Analytics,Internee.pk,39000,2025-03-05 01:24:00,https://www.linkedin.com/in/talha-siddiqui695,2,0.6
INT-10118,Yasir Ansari,yasir.ansari118@gmail.com,03222373803,23,Female,Gujranwala,Punjab,BS Data Science,University of Sindh,2.9,"Tableau, Data Visualization",21,Software Development,LinkedIn,20000,2025-04-21 11:41:00,https://www.linkedin.com/in/yasir-ansari118,2,1.8
INT-10571,Areeba Bhatti,areeba.bhatti571@yahoo.com,03342207110,29,Male,Hyderabad,Sindh,BS Software Engineering,NED University,2.74,"Excel, Data Visualization",16,Software Development,Referral,37000,2025-03-10 06:27:00,https://www.linkedin.com/in/areeba-bhatti571,2,1.3
INT-10646,Talha Memon,talha.memon646@outlook.com,03001564760,29,Female,Khairpur,Sindh,BS Information Technology,COMSATS University,2.85,Not Specified,4,Human Resources,Internee.pk,27000,2025-04-18 10:54:00,Not Provided,0,0.3
INT-10413,Areeba Jatoi,areeba.jatoi413@gmail.com,03362927092,28,Male,Sukkur,Sindh,BS Software Engineering,NED University,3.25,"Excel, Html, Css, Tableau, Data Visualization, Statistics",4,Marketing,University Portal,26000,2025-03-06 16:33:00,https://www.linkedin.com/in/areeba-jatoi413,6,0.3
INT-10468,Danish Chandio,danish.chandio468@yahoo.com,03372973575,24,Female,Larkana,Sindh,BS Information Technology,NED University,3.4,"Power BI, Data Visualization, Html, Css, Python, Statistics, Tableau",5,Product,Direct,47000,2025-04-09 10:11:00,https://www.linkedin.com/in/danish-chandio468,7,0.4
INT-10780,Hira Malik,hira.malik780@yahoo.com,03293192025,26,Female,Islamabad,Islamabad Capital Territory,BS Software Engineering,University of Karachi,2.6,"Python, Communication, Power BI, Machine Learning",1,Marketing,Direct,35000,2025-03-31 09:01:00,https://www.linkedin.com/in/hira-malik780,4,0.1
INT-10050,Noor Bhatti,noor.bhatti50@outlook.com,03315747643,22,Male,Gujranwala,Punjab,BS Information Technology,University of Karachi,2.6,"Git, Statistics, Machine Learning, Excel, Power BI, Tableau",17,Human Resources,Direct,26000,2025-03-23 16:08:00,https://www.linkedin.com/in/noor-bhatti50,6,1.4
INT-10196,Noor Rind,noor.rind196@icloud.com,03293545541,21,Female,Hyderabad,Sindh,BS Computer Science,University of Karachi,3.26,"Power BI, SQL, Pandas, Communication",10,Human Resources,LinkedIn,28000,2025-03-15 18:11:00,https://www.linkedin.com/in/noor-rind196,4,0.8
INT-10189,Rida Rind,rida.rind189@yahoo.com,03369583980,25,Male,Khairpur,Sindh,BS Information Technology,NUST,2.89,"Html, Css, SQL, Python, Data Visualization",21,Data Analytics,Internee.pk,36000,2025-04-23 21:02:00,https://www.linkedin.com/in/rida-rind189,5,1.8
INT-10014,Talha Rind,talha.rind14@outlook.com,03275962107,27,Male,Islamabad,Islamabad Capital Territory,BS Statistics,COMSATS University,2.54,"Git, Power BI",4,Human Resources,Direct,10000,2025-04-07 08:10:00,https://www.linkedin.com/in/talha-rind14,2,0.3
INT-10735,Bilal Chandio,bilal.chandio735@outlook.com,03441420175,22,Male,Gujranwala,Punjab,BS Computer Science,University of Karachi,2.84,"Python, Statistics, Machine Learning, Git, Tableau, SQL",20,Data Analytics,LinkedIn,32000,2025-04-06 07:37:00,https://www.linkedin.com/in/bilal-chandio735,6,1.7
INT-10372,Ali Mirza,ali.mirza372@icloud.com,03407624593,24,Male,Hyderabad,Sindh,BS Software Engineering,COMSATS University,3.0,"Tableau, SQL",10,Business Intelligence,Referral,35000,2025-03-10 01:57:00,https://www.linkedin.com/in/ali-mirza372,2,0.8
INT-10814,Sajid Ansari,sajid.ansari814@outlook.com,03415857571,26,Female,Abbottabad,Khyber Pakhtunkhwa,BS Data Science,NED University,3.05,"Html, Css, Tableau, Python",4,Data Analytics,Internee.pk,30000,2025-03-01 13:21:00,https://www.linkedin.com/in/sajid-ansari814,4,0.3
INT-10056,Talha Syed,talha.syed56@gmail.com,03194397214,23,Female,Islamabad,Islamabad Capital Territory,BBA,Punjab University,3.32,"Statistics, Python",12,Data Analytics,Direct,42000,2025-03-31 00:24:00,https://www.linkedin.com/in/talha-syed56,2,1.0
INT-10683,Laiba Rajput,laiba.rajput683@outlook.com,03277864097,26,Male,Larkana,Sindh,BS Computer Science,Bahria University,3.13,"Html, Css, Python, SQL, Tableau, Data Visualization",18,Data Analytics,Internee.pk,17000,2025-03-13 14:10:00,https://www.linkedin.com/in/laiba-rajput683,6,1.5
INT-10772,Hira Ansari,hira.ansari772@gmail.com,03338598156,27,Female,Karachi,Sindh,BS Information Technology,LUMS,3.97,"SQL, Data Visualization, Html, Css, Git, Python",7,Marketing,Indeed,34000,2025-04-03 17:28:00,https://www.linkedin.com/in/hira-ansari772,6,0.6
INT-10353,Usman Soomro,usman.soomro353@gmail.com,03243516969,26,Male,Rawalpindi,Punjab,BS Information Technology,NUST,2.89,"Communication, Statistics, Data Visualization, Git, Python, Pandas",3,Finance,University Portal,33000,2025-04-11 11:00:00,https://www.linkedin.com/in/usman-soomro353,6,0.2
INT-10100,Talha Ali,talha.ali100@outlook.com,03267452610,28,Male,Peshawar,Khyber Pakhtunkhwa,BS Economics,Punjab University,3.77,"Pandas, SQL, Excel, Git, Html, Css, Power BI",3,Human Resources,Referral,34000,2025-04-08 11:16:00,https://www.linkedin.com/in/talha-ali100,7,0.2
INT-10040,Mahnoor Shaikh,mahnoor.shaikh40@icloud.com,Not Provided,22,Male,Lahore,Punjab,BS Information Technology,Shah Abdul Latif University,3.87,"SQL, Communication",21,Marketing,Internee.pk,43000,2025-03-07 18:09:00,https://www.linkedin.com/in/mahnoor-shaikh40,2,1.8
INT-10376,Farhan Memon,farhan.memon376@outlook.com,03305141912,25,Male,Rawalpindi,Punjab,BBA,LUMS,2.92,"Python, Power BI, Data Visualization, Excel, Communication",13,Business Intelligence,Referral,10000,2025-04-23 19:07:00,https://www.linkedin.com/in/farhan-memon376,5,1.1
INT-10363,Hussain Abbasi,hussain.abbasi363@icloud.com,03163083112,23,Male,Karachi,Sindh,BBA,Mehran University,3.43,"Git, Communication, Pandas, Html, Css, Statistics",4,Product,University Portal,40000,2025-03-30 11:12:00,https://www.linkedin.com/in/hussain-abbasi363,6,0.3
INT-10785,Nimra Khan,nimra.khan785@gmail.com,03304086735,23,Female,Rawalpindi,Punjab,BS Data Science,Bahria University,2.98,"Pandas, Git, Machine Learning, Statistics, SQL",8,Marketing,University Portal,36000,2025-04-10 05:40:00,https://www.linkedin.com/in/nimra-khan785,5,0.7
INT-10788,Danish Ali,danish.ali788@gmail.com,03162876849,26,Female,Faisalabad,Punjab,BBA,IBA Karachi,3.07,"Html, Css, Machine Learning",13,Finance,Direct,21000,2025-03-10 03:33:00,https://www.linkedin.com/in/danish-ali788,3,1.1
INT-10169,Zain Ansari,zain.ansari169@outlook.com,03390116917,23,Male,Rawalpindi,Punjab,BS Data Science,IBA Karachi,2.75,"Pandas, Git, Tableau",18,Product,Referral,28000,2025-03-17 21:51:00,https://www.linkedin.com/in/zain-ansari169,3,1.5
INT-10594,Sana Qureshi,sana.qureshi594@outlook.com,03094524937,27,Male,Sukkur,Sindh,BS Computer Science,Punjab University,3.12,"Html, Css, Excel, Python",8,Finance,University Portal,33000,2025-03-19 01:10:00,https://www.linkedin.com/in/sana-qureshi594,4,0.7
INT-10729,Iqra Syed,iqra.syed729@yahoo.com,03464472458,30,Female,Mardan,Khyber Pakhtunkhwa,BS Information Technology,IBA Karachi,3.05,"Power BI, Statistics, Data Visualization, Python",6,Business Intelligence,LinkedIn,34000,2025-03-27 17:39:00,https://www.linkedin.com/in/iqra-syed729,4,0.5
INT-10223,Iqra Ansari,iqra.ansari223@outlook.com,03304443378,24,Female,Nawabshah,Sindh,BS Information Technology,NUST,3.37,"Communication, Excel, Machine Learning, Python",1,Business Intelligence,Referral,24000,2025-03-31 11:13:00,https://www.linkedin.com/in/iqra-ansari223,4,0.1
INT-10740,Yasir Ahmed,yasir.ahmed740@outlook.com,03045991138,19,Female,Hyderabad,Sindh,BBA,Bahria University,2.36,"Machine Learning, Statistics, Excel",4,Marketing,Direct,25000,2025-04-08 17:04:00,https://www.linkedin.com/in/yasir-ahmed740,3,0.3
INT-10070,Noor Malik,noor.malik70@gmail.com,03162813043,25,Female,Larkana,Sindh,BS Information Technology,COMSATS University,2.99,"Machine Learning, Tableau, Excel, Python, Statistics, SQL",7,Software Development,Indeed,26000,2025-03-14 14:06:00,https://www.linkedin.com/in/noor-malik70,6,0.6
INT-10543,Talha Abbasi,talha.abbasi543@yahoo.com,03073173651,22,Female,Hyderabad,Sindh,BS Information Technology,University of Karachi,3.18,"Excel, Html, Css",11,Marketing,University Portal,20000,2025-04-10 07:33:00,https://www.linkedin.com/in/talha-abbasi543,3,0.9
INT-10091,Saad Rajput,saad.rajput91@icloud.com,03438406930,31,Prefer not to say,Abbottabad,Khyber Pakhtunkhwa,BBA,Mehran University,3.44,"Python, SQL, Statistics, Tableau, Power BI, Pandas",4,Data Analytics,University Portal,37000,2025-03-24 20:03:00,https://www.linkedin.com/in/saad-rajput91,6,0.3
INT-10641,Hamza Ahmed,hamza.ahmed641@gmail.com,03467916691,24,Male,Faisalabad,Punjab,BS Software Engineering,LUMS,2.62,"Communication, Tableau, Git, SQL",3,Finance,University Portal,32000,2025-04-10 13:38:00,https://www.linkedin.com/in/hamza-ahmed641,4,0.2
INT-10837,Sajid Qureshi,sajid.qureshi837@gmail.com,03160284034,30,Female,Khairpur,Sindh,BS Information Technology,Mehran University,3.51,"SQL, Power BI, Tableau",2,Human Resources,Referral,44000,2025-04-29 00:11:00,Not Provided,3,0.2
INT-10767,Sidra Ansari,sidra.ansari767@icloud.com,03440326351,31,Prefer not to say,Rawalpindi,Punjab,BBA,Bahria University,3.15,"SQL, Power BI, Pandas, Statistics",4,Finance,LinkedIn,25000,2025-04-04 12:12:00,https://www.linkedin.com/in/sidra-ansari767,4,0.3
INT-10212,Bilal Qureshi,bilal.qureshi212@yahoo.com,03240388515,23,Male,Sukkur,Sindh,BS Information Technology,Punjab University,3.35,"Tableau, Machine Learning, Pandas, Git, Python",4,Business Intelligence,Internee.pk,10000,2025-03-05 23:19:00,https://www.linkedin.com/in/bilal-qureshi212,5,0.3
INT-10779,Shayan Ahmed,shayan.ahmed779@gmail.com,03056001759,29,Male,Faisalabad,Punjab,BS Software Engineering,IBA Karachi,3.2,"SQL, Communication",6,Software Development,LinkedIn,32000,2025-03-25 03:17:00,https://www.linkedin.com/in/shayan-ahmed779,2,0.5
INT-10381,Eman Ansari,eman.ansari381@yahoo.com,03024005793,25,Male,Peshawar,Khyber Pakhtunkhwa,BS Information Technology,Bahria University,3.08,"Machine Learning, Power BI, Html, Css",1,Product,Referral,26000,2025-03-13 14:59:00,Not Provided,4,0.1
INT-10752,Laiba Qureshi,laiba.qureshi752@icloud.com,03444643049,21,Female,Mardan,Khyber Pakhtunkhwa,BBA,Bahria University,3.1,"Pandas, Data Visualization, Power BI, Statistics, Machine Learning, Excel",14,Software Development,LinkedIn,22000,2025-03-28 12:09:00,https://www.linkedin.com/in/laiba-qureshi752,6,1.2
INT-10221,Zain Siddiqui,zain.siddiqui221@yahoo.com,03283447290,25,Male,Lahore,Punjab,BBA,NUST,3.58,"Machine Learning, Pandas, Communication",4,Software Development,Internee.pk,35000,2025-04-04 12:54:00,https://www.linkedin.com/in/zain-siddiqui221,3,0.3
