application_id,field,original_value,cleaned_value,issue_type,action
INT-20028,applicant_name,nimra syed,Nimra Syed,Text formatting,Trimmed and title-cased
INT-20012,applicant_name,talha ali,Talha Ali,Text formatting,Trimmed and title-cased
INT-10122,applicant_name,farhan shaikh,Farhan Shaikh,Text formatting,Trimmed and title-cased
INT-20022,applicant_name,yasir ansari,Yasir Ansari,Text formatting,Trimmed and title-cased
INT-20040,applicant_name,iqra bhatti,Iqra Bhatti,Text formatting,Trimmed and title-cased
INT-20023,applicant_name,hamza ali,Hamza Ali,Text formatting,Trimmed and title-cased
INT-10513,applicant_name,hamza rind,Hamza Rind,Text formatting,Trimmed and title-cased
INT-10398,applicant_name,eman malik,Eman Malik,Text formatting,Trimmed and title-cased
INT-10027,applicant_name,laiba ansari,Laiba Ansari,Text formatting,Trimmed and title-cased
INT-10770,applicant_name,NIMRA RAJPUT,Nimra Rajput,Text formatting,Trimmed and title-cased
INT-10151,applicant_name,  Ahsan Rajput ,Ahsan Rajput,Text formatting,Trimmed and title-cased
INT-20030,applicant_name,mahnoor siddiqui,Mahnoor Siddiqui,Text formatting,Trimmed and title-cased
INT-20038,applicant_name,ahsan siddiqui,Ahsan Siddiqui,Text formatting,Trimmed and title-cased
INT-20015,applicant_name,mahnoor malik,Mahnoor Malik,Text formatting,Trimmed and title-cased
INT-10765,applicant_name,  Zain Baloch ,Zain Baloch,Text formatting,Trimmed and title-cased
INT-10214,applicant_name,  Sana Ali ,Sana Ali,Text formatting,Trimmed and title-cased
INT-10793,applicant_name,MUHAMMAD KHAN,Muhammad Khan,Text formatting,Trimmed and title-cased
INT-20001,applicant_name,ali chandio,Ali Chandio,Text formatting,Trimmed and title-cased
INT-10454,applicant_name,  Ahsan Jatoi ,Ahsan Jatoi,Text formatting,Trimmed and title-cased
INT-20027,applicant_name,laiba rajput,Laiba Rajput,Text formatting,Trimmed and title-cased
INT-10361,applicant_name,  Sajid Memon ,Sajid Memon,Text formatting,Trimmed and title-cased
INT-10754,applicant_name,  Shayan Abbasi ,Shayan Abbasi,Text formatting,Trimmed and title-cased
INT-10354,applicant_name,  Nimra Bhatti ,Nimra Bhatti,Text formatting,Trimmed and title-cased
INT-10024,email,NOOR.MALIK24@YAHOO.COM,noor.malik24@yahoo.com,Email formatting,Lowercased and trimmed
INT-20010,email,IQRA.SOOMRO846@OUTLOOK.COM,iqra.soomro846@outlook.com,Email formatting,Lowercased and trimmed
INT-10233,email,ALI.RAJPUT233@OUTLOOK.COM,ali.rajput233@outlook.com,Email formatting,Lowercased and trimmed
INT-20011,email,NOOR.SIDDIQUI83@YAHOO.COM,noor.siddiqui83@yahoo.com,Email formatting,Lowercased and trimmed
INT-10623,email,HAMZA.MIRZA623@ICLOUD.COM,hamza.mirza623@icloud.com,Email formatting,Lowercased and trimmed
INT-20005,email, AHSAN.MEMON669@OUTLOOK.COM ,ahsan.memon669@outlook.com,Email formatting,Lowercased and trimmed
INT-10743,email, hamza.abbasi743@gmail.com ,hamza.abbasi743@gmail.com,Email formatting,Lowercased and trimmed
INT-20037,email,HAMZA.MIRZA441@GMAIL.COM,hamza.mirza441@gmail.com,Email formatting,Lowercased and trimmed
INT-10794,email, bilal.abbasi794@outlook.com ,bilal.abbasi794@outlook.com,Email formatting,Lowercased and trimmed
INT-20018,email,ZARA.ALI317@ICLOUD.COM,zara.ali317@icloud.com,Email formatting,Lowercased and trimmed
INT-10694,email,MUHAMMAD.SOOMRO694@GMAIL.COM,muhammad.soomro694@gmail.com,Email formatting,Lowercased and trimmed
INT-20035,email,EMAN.RIND201@ICLOUD.COM,eman.rind201@icloud.com,Email formatting,Lowercased and trimmed
INT-10814,email, sajid.ansari814@outlook.com ,sajid.ansari814@outlook.com,Email formatting,Lowercased and trimmed
INT-20034,email,USMAN.ANSARI175@ICLOUD.COM,usman.ansari175@icloud.com,Email formatting,Lowercased and trimmed
INT-20024,email,IQRA.QURESHI247@GMAIL.COM,iqra.qureshi247@gmail.com,Email formatting,Lowercased and trimmed
INT-20003,email,SHAYAN.AHMED779@GMAIL.COM,shayan.ahmed779@gmail.com,Email formatting,Lowercased and trimmed
INT-20002,email,HAMZA.KHAN603@ICLOUD.COM,hamza.khan603@icloud.com,Email formatting,Lowercased and trimmed
INT-20016,email,BILAL.ALI485@OUTLOOK.COM,bilal.ali485@outlook.com,Email formatting,Lowercased and trimmed
INT-20014,email, HUSSAIN.ANSARI296@GMAIL.COM ,hussain.ansari296@gmail.com,Email formatting,Lowercased and trimmed
INT-10231,email,USMAN.MIRZA231@GMAIL.COM,usman.mirza231@gmail.com,Email formatting,Lowercased and trimmed
INT-20007,email,IQRA.SYED729@YAHOO.COM,iqra.syed729@yahoo.com,Email formatting,Lowercased and trimmed
INT-20020,email,TALHA.SIDDIQUI736@YAHOO.COM,talha.siddiqui736@yahoo.com,Email formatting,Lowercased and trimmed
INT-10851,email,SANA.ALI851@YAHOO.COM,sana.ali851@yahoo.com,Email formatting,Lowercased and trimmed
INT-20004,email,SAJID.SHAIKH457@GMAIL.COM,sajid.shaikh457@gmail.com,Email formatting,Lowercased and trimmed
INT-10380,email,DANISH.RIND380@OUTLOOK.COM,danish.rind380@outlook.com,Email formatting,Lowercased and trimmed
INT-20019,email,TALHA.SOOMRO133@YAHOO.COM,talha.soomro133@yahoo.com,Email formatting,Lowercased and trimmed
INT-10572,email,ZAIN.BHATTI572@ICLOUD.COM,zain.bhatti572@icloud.com,Email formatting,Lowercased and trimmed
INT-10547,email, iqra.bhatti547@outlook.com ,iqra.bhatti547@outlook.com,Email formatting,Lowercased and trimmed
INT-10817,email,HAMZA.RIND817@GMAIL.COM,hamza.rind817@gmail.com,Email formatting,Lowercased and trimmed
INT-10296,email, hussain.ansari296@gmail.com ,hussain.ansari296@gmail.com,Email formatting,Lowercased and trimmed
INT-10399,email,TALHA.BALOCH399@YAHOO.COM,talha.baloch399@yahoo.com,Email formatting,Lowercased and trimmed
INT-20039,email,LAIBA.KHAN525@OUTLOOK.COM,laiba.khan525@outlook.com,Email formatting,Lowercased and trimmed
INT-20029,email,HAMZA.SYED302@YAHOO.COM,hamza.syed302@yahoo.com,Email formatting,Lowercased and trimmed
INT-20013,email,IQRA.SIDDIQUI208@OUTLOOK.COM,iqra.siddiqui208@outlook.com,Email formatting,Lowercased and trimmed
INT-10102,email, usman.shaikh102@outlook.com ,usman.shaikh102@outlook.com,Email formatting,Lowercased and trimmed
INT-10235,email,SANA.RIND235@YAHOO.COM,sana.rind235@yahoo.com,Email formatting,Lowercased and trimmed
INT-10446,email,MAHNOOR.SHAIKH446@OUTLOOK.COM,mahnoor.shaikh446@outlook.com,Email formatting,Lowercased and trimmed
INT-10700,email, mahnoor.bhatti700@yahoo.com ,mahnoor.bhatti700@yahoo.com,Email formatting,Lowercased and trimmed
INT-10732,email,NOOR.RIND732@ICLOUD.COM,noor.rind732@icloud.com,Email formatting,Lowercased and trimmed
INT-10239,email,SAAD.RAJPUT239@ICLOUD.COM,saad.rajput239@icloud.com,Email formatting,Lowercased and trimmed
INT-10460,email, hussain.ahmed460@outlook.com ,hussain.ahmed460@outlook.com,Email formatting,Lowercased and trimmed
INT-10741,email, mariam.mirza741@gmail.com ,mariam.mirza741@gmail.com,Email formatting,Lowercased and trimmed
INT-20026,email,SANA.BHATTI173@YAHOO.COM,sana.bhatti173@yahoo.com,Email formatting,Lowercased and trimmed
INT-20009,email,SAAD.AHMED293@ICLOUD.COM,saad.ahmed293@icloud.com,Email formatting,Lowercased and trimmed
INT-10073,email,SHAYAN.MIRZA73@ICLOUD.COM,shayan.mirza73@icloud.com,Email formatting,Lowercased and trimmed
INT-20032,email,MAHNOOR.SIDDIQUI319@ICLOUD.COM,mahnoor.siddiqui319@icloud.com,Email formatting,Lowercased and trimmed
INT-10798,email, muhammad.siddiqui798@icloud.com ,muhammad.siddiqui798@icloud.com,Email formatting,Lowercased and trimmed
INT-10841,email, sajid.khan841@icloud.com ,sajid.khan841@icloud.com,Email formatting,Lowercased and trimmed
INT-10303,email,HUSSAIN.SIDDIQUI303@GMAIL.COM,hussain.siddiqui303@gmail.com,Email formatting,Lowercased and trimmed
INT-20008,email,AHSAN.QURESHI86@GMAIL.COM,ahsan.qureshi86@gmail.com,Email formatting,Lowercased and trimmed
INT-20025,email,SHAYAN.JATOI181@ICLOUD.COM,shayan.jatoi181@icloud.com,Email formatting,Lowercased and trimmed
INT-10498,email, zain.shah498@yahoo.com ,zain.shah498@yahoo.com,Email formatting,Lowercased and trimmed
INT-10609,email,SHAYAN.SIDDIQUI609@ICLOUD.COM,shayan.siddiqui609@icloud.com,Email formatting,Lowercased and trimmed
INT-10574,email, noor.jatoi574@icloud.com ,noor.jatoi574@icloud.com,Email formatting,Lowercased and trimmed
INT-10107,email,LAIBA.SHAH107@GMAIL.COM,laiba.shah107@gmail.com,Email formatting,Lowercased and trimmed
INT-10348,email, zain.malik348@yahoo.com ,zain.malik348@yahoo.com,Email formatting,Lowercased and trimmed
INT-20017,email,MARIAM.SHAH279@GMAIL.COM,mariam.shah279@gmail.com,Email formatting,Lowercased and trimmed
INT-20036,email,HIRA.SHAH488@YAHOO.COM,hira.shah488@yahoo.com,Email formatting,Lowercased and trimmed
INT-10643,email,HIRA.ABBASI643@ICLOUD.COM,hira.abbasi643@icloud.com,Email formatting,Lowercased and trimmed
INT-20021,email,ALI.ANSARI595@GMAIL.COM,ali.ansari595@gmail.com,Email formatting,Lowercased and trimmed
INT-20031,email,SANA.CHANDIO690@ICLOUD.COM,sana.chandio690@icloud.com,Email formatting,Lowercased and trimmed
INT-20033,email,MUHAMMAD.KHAN793@OUTLOOK.COM,muhammad.khan793@outlook.com,Email formatting,Lowercased and trimmed
INT-20006,email,TALHA.ALI100@OUTLOOK.COM,talha.ali100@outlook.com,Email formatting,Lowercased and trimmed
INT-10852,email,FARHAN.ANSARI852@YAHOO.COM,farhan.ansari852@yahoo.com,Email formatting,Lowercased and trimmed
INT-10245,email, yasir.siddiqui245@yahoo.com ,yasir.siddiqui245@yahoo.com,Email formatting,Lowercased and trimmed
INT-20028,email,NIMRA.SYED13@GMAIL.COM,nimra.syed13@gmail.com,Email formatting,Lowercased and trimmed
INT-10333,email,SAJID.ALI333@YAHOO.COM,sajid.ali333@yahoo.com,Email formatting,Lowercased and trimmed
INT-20012,email,TALHA.ALI336@GMAIL.COM,talha.ali336@gmail.com,Email formatting,Lowercased and trimmed
INT-10022,email,HIRA.SHAH22@OUTLOOK.COM,hira.shah22@outlook.com,Email formatting,Lowercased and trimmed
INT-20022,email,YASIR.ANSARI666@YAHOO.COM,yasir.ansari666@yahoo.com,Email formatting,Lowercased and trimmed
INT-10669,email, ahsan.memon669@outlook.com ,ahsan.memon669@outlook.com,Email formatting,Lowercased and trimmed
INT-20040,email,IQRA.BHATTI840@OUTLOOK.COM,iqra.bhatti840@outlook.com,Email formatting,Lowercased and trimmed
INT-10818,email, nimra.siddiqui818@gmail.com ,nimra.siddiqui818@gmail.com,Email formatting,Lowercased and trimmed
INT-20023,email,HAMZA.ALI312@GMAIL.COM,hamza.ali312@gmail.com,Email formatting,Lowercased and trimmed
INT-10592,email,ZARA.CHANDIO592@ICLOUD.COM,zara.chandio592@icloud.com,Email formatting,Lowercased and trimmed
INT-10462,email,HAMZA.BALOCH462@GMAIL.COM,hamza.baloch462@gmail.com,Email formatting,Lowercased and trimmed
INT-10318,email, iqra.shaikh318@icloud.com ,iqra.shaikh318@icloud.com,Email formatting,Lowercased and trimmed
INT-10210,email,YASIR.CHANDIO210@OUTLOOK.COM,yasir.chandio210@outlook.com,Email formatting,Lowercased and trimmed
INT-20030,email,MAHNOOR.SIDDIQUI10@YAHOO.COM,mahnoor.siddiqui10@yahoo.com,Email formatting,Lowercased and trimmed
INT-20038,email,AHSAN.SIDDIQUI370@YAHOO.COM,ahsan.siddiqui370@yahoo.com,Email formatting,Lowercased and trimmed
INT-20015,email,MAHNOOR.MALIK477@OUTLOOK.COM,mahnoor.malik477@outlook.com,Email formatting,Lowercased and trimmed
INT-10005,email, sajid.rind5@outlook.com ,sajid.rind5@outlook.com,Email formatting,Lowercased and trimmed
INT-10214,email, sana.ali214@outlook.com ,sana.ali214@outlook.com,Email formatting,Lowercased and trimmed
INT-10799,email,SAAD.SHAH799@YAHOO.COM,saad.shah799@yahoo.com,Email formatting,Lowercased and trimmed
INT-20001,email,ALI.CHANDIO59@ICLOUD.COM,ali.chandio59@icloud.com,Email formatting,Lowercased and trimmed
INT-20027,email,LAIBA.RAJPUT706@GMAIL.COM,laiba.rajput706@gmail.com,Email formatting,Lowercased and trimmed
INT-10472,email, ahsan.baloch472@outlook.com ,ahsan.baloch472@outlook.com,Email formatting,Lowercased and trimmed
INT-10483,email, fatima.baloch483@outlook.com ,fatima.baloch483@outlook.com,Email formatting,Lowercased and trimmed
INT-10698,phone,0326-589 1815,03265891815,Phone formatting,Normalized to 11 digits
INT-10750,phone,0305 4627106,03054627106,Phone formatting,Normalized to 11 digits
INT-10677,phone,+92 306 729 7354,03067297354,Phone formatting,Normalized to 11 digits
INT-10289,phone,+92 322 481 6486,03224816486,Phone formatting,Normalized to 11 digits
INT-10502,phone,0332-314 9655,03323149655,Phone formatting,Normalized to 11 digits
INT-10413,phone,+92 336 292 7092,03362927092,Phone formatting,Normalized to 11 digits
INT-10050,phone,0331 5747643,03315747643,Phone formatting,Normalized to 11 digits
INT-10223,phone,0330-444 3378,03304443378,Phone formatting,Normalized to 11 digits
INT-10381,phone,+92 302 400 5793,03024005793,Phone formatting,Normalized to 11 digits
INT-10356,phone,+92 334 704 2112,03347042112,Phone formatting,Normalized to 11 digits
INT-10607,phone,0341 2859567,03412859567,Phone formatting,Normalized to 11 digits
INT-10111,phone,+92 342 136 2916,03421362916,Phone formatting,Normalized to 11 digits
INT-20004,phone,923481404682,03481404682,Phone formatting,Normalized to 11 digits
INT-10065,phone,+92 321 923 9650,03219239650,Phone formatting,Normalized to 11 digits
INT-10624,phone,0302-397 5012,03023975012,Phone formatting,Normalized to 11 digits
INT-10123,phone,+92 307 330 4905,03073304905,Phone formatting,Normalized to 11 digits
INT-10711,phone,0319-660 4054,03196604054,Phone formatting,Normalized to 11 digits
INT-10521,phone,0336-712 1044,03367121044,Phone formatting,Normalized to 11 digits
INT-10172,phone,+92 340 190 5488,03401905488,Phone formatting,Normalized to 11 digits
INT-10321,phone,+92 312 175 0960,03121750960,Phone formatting,Normalized to 11 digits
INT-10682,phone,+92 301 599 1184,03015991184,Phone formatting,Normalized to 11 digits
INT-10440,phone,+92 309 843 3180,03098433180,Phone formatting,Normalized to 11 digits
INT-10617,phone,0331-556 8612,03315568612,Phone formatting,Normalized to 11 digits
INT-10047,phone,0312 0414714,03120414714,Phone formatting,Normalized to 11 digits
INT-10116,phone,0322-317 4748,03223174748,Phone formatting,Normalized to 11 digits
INT-10073,phone,0332-650 9569,03326509569,Phone formatting,Normalized to 11 digits
INT-10076,phone,0348-262 1310,03482621310,Phone formatting,Normalized to 11 digits
INT-10114,phone,0317-203 3190,03172033190,Phone formatting,Normalized to 11 digits
INT-10115,phone,+92 300 585 3305,03005853305,Phone formatting,Normalized to 11 digits
INT-10681,phone,+92 323 614 9330,03236149330,Phone formatting,Normalized to 11 digits
INT-10670,phone,0304 3247352,03043247352,Phone formatting,Normalized to 11 digits
INT-10345,phone,0326-282 2580,03262822580,Phone formatting,Normalized to 11 digits
INT-10352,phone,+92 327 760 9699,03277609699,Phone formatting,Normalized to 11 digits
INT-10426,phone,+92 308 095 2583,03080952583,Phone formatting,Normalized to 11 digits
INT-10539,phone,0334 5555379,03345555379,Phone formatting,Normalized to 11 digits
INT-10632,phone,0316 8604671,03168604671,Phone formatting,Normalized to 11 digits
INT-10499,phone,0335 5851179,03355851179,Phone formatting,Normalized to 11 digits
INT-10505,phone,0327-142 1754,03271421754,Phone formatting,Normalized to 11 digits
INT-10375,phone,0306-525 6808,03065256808,Phone formatting,Normalized to 11 digits
INT-10587,phone,0335 3262592,03353262592,Phone formatting,Normalized to 11 digits
INT-10457,phone,+92 348 140 4682,03481404682,Phone formatting,Normalized to 11 digits
INT-10510,phone,0317 2624680,03172624680,Phone formatting,Normalized to 11 digits
INT-10397,phone,+92 323 182 9077,03231829077,Phone formatting,Normalized to 11 digits
INT-10283,phone,0311-420 6147,03114206147,Phone formatting,Normalized to 11 digits
INT-10540,phone,+92 316 960 1659,03169601659,Phone formatting,Normalized to 11 digits
INT-10190,phone,0324 1290253,03241290253,Phone formatting,Normalized to 11 digits
INT-10251,phone,0340 7926377,03407926377,Phone formatting,Normalized to 11 digits
INT-10245,phone,+92 325 883 0122,03258830122,Phone formatting,Normalized to 11 digits
INT-10789,phone,0347-600 3540,03476003540,Phone formatting,Normalized to 11 digits
INT-10669,phone,0344 7043621,03447043621,Phone formatting,Normalized to 11 digits
INT-10647,phone,0347 0568648,03470568648,Phone formatting,Normalized to 11 digits
INT-10541,phone,0318 2948685,03182948685,Phone formatting,Normalized to 11 digits
INT-10848,phone,+92 334 501 4837,03345014837,Phone formatting,Normalized to 11 digits
INT-10470,phone,+92 327 170 5995,03271705995,Phone formatting,Normalized to 11 digits
INT-10513,phone,0313-894 2137,03138942137,Phone formatting,Normalized to 11 digits
INT-10206,phone,0324-221 8225,03242218225,Phone formatting,Normalized to 11 digits
INT-10829,phone,+92 317 621 7237,03176217237,Phone formatting,Normalized to 11 digits
INT-10312,phone,0318 0869308,03180869308,Phone formatting,Normalized to 11 digits
INT-10330,phone,+92 348 488 3574,03484883574,Phone formatting,Normalized to 11 digits
INT-10793,phone,0338-524 8565,03385248565,Phone formatting,Normalized to 11 digits
INT-10004,phone,+92 325 270 8888,03252708888,Phone formatting,Normalized to 11 digits
INT-10347,phone,0307 9355830,03079355830,Phone formatting,Normalized to 11 digits
INT-10588,city,Rawalpindi ,Rawalpindi,City formatting,Mapped to canonical city
INT-10709,city,KHAIRPUR,Khairpur,City formatting,Mapped to canonical city
INT-10686,city,KARACHI,Karachi,City formatting,Mapped to canonical city
INT-10646,city,KHAIRPUR,Khairpur,City formatting,Mapped to canonical city
INT-10413,city,SUKKUR,Sukkur,City formatting,Mapped to canonical city
INT-10353,city,Rawalpindi ,Rawalpindi,City formatting,Mapped to canonical city
INT-10221,city,Lhr,Lahore,City formatting,Mapped to canonical city
INT-10356,city,khi,Karachi,City formatting,Mapped to canonical city
INT-10135,city,hyderabad,Hyderabad,City formatting,Mapped to canonical city
INT-10006,city,LAHORE,Lahore,City formatting,Mapped to canonical city
INT-10098,city,SUKKUR,Sukkur,City formatting,Mapped to canonical city
INT-10029,city,sukkur,Sukkur,City formatting,Mapped to canonical city
INT-10030,city,sukkur,Sukkur,City formatting,Mapped to canonical city
INT-10707,city,Hyd,Hyderabad,City formatting,Mapped to canonical city
INT-10784,city,islamabad,Islamabad,City formatting,Mapped to canonical city
INT-10077,city,rawalpindi,Rawalpindi,City formatting,Mapped to canonical city
INT-10231,city,HYDERABAD,Hyderabad,City formatting,Mapped to canonical city
INT-10336,city,ISLAMABAD,Islamabad,City formatting,Mapped to canonical city
INT-10744,city,khairpur,Khairpur,City formatting,Mapped to canonical city
INT-10325,city,Isb,Islamabad,City formatting,Mapped to canonical city
INT-10509,city,SUKKUR,Sukkur,City formatting,Mapped to canonical city
INT-20013,city,Karachi ,Karachi,City formatting,Mapped to canonical city
INT-10832,city,SUKKUR,Sukkur,City formatting,Mapped to canonical city
INT-10054,city,karachi,Karachi,City formatting,Mapped to canonical city
INT-10535,city,LAHORE,Lahore,City formatting,Mapped to canonical city
INT-10786,city,ISLAMABAD,Islamabad,City formatting,Mapped to canonical city
INT-10120,city,HYDERABAD,Hyderabad,City formatting,Mapped to canonical city
INT-10519,city,ISLAMABAD,Islamabad,City formatting,Mapped to canonical city
INT-10455,city,karachi,Karachi,City formatting,Mapped to canonical city
INT-10612,city,sukkur,Sukkur,City formatting,Mapped to canonical city
INT-10810,city,hyderabad,Hyderabad,City formatting,Mapped to canonical city
INT-10627,city,Rawalpindi ,Rawalpindi,City formatting,Mapped to canonical city
INT-10232,city,khi,Karachi,City formatting,Mapped to canonical city
INT-10129,city,Lhr,Lahore,City formatting,Mapped to canonical city
INT-10681,city,Isb,Islamabad,City formatting,Mapped to canonical city
INT-10137,city,LAHORE,Lahore,City formatting,Mapped to canonical city
INT-10228,city,rawalpindi,Rawalpindi,City formatting,Mapped to canonical city
INT-10591,city,Hyd,Hyderabad,City formatting,Mapped to canonical city
INT-10086,city,KHAIRPUR,Khairpur,City formatting,Mapped to canonical city
INT-20008,city,KHAIRPUR,Khairpur,City formatting,Mapped to canonical city
INT-10208,city,Karachi ,Karachi,City formatting,Mapped to canonical city
INT-10358,city,hyderabad,Hyderabad,City formatting,Mapped to canonical city
INT-10165,city,rawalpindi,Rawalpindi,City formatting,Mapped to canonical city
INT-10693,city,lahore,Lahore,City formatting,Mapped to canonical city
INT-10067,city,LAHORE,Lahore,City formatting,Mapped to canonical city
INT-10257,city,islamabad,Islamabad,City formatting,Mapped to canonical city
INT-10503,city,rawalpindi,Rawalpindi,City formatting,Mapped to canonical city
